course_name,fin_aid_status,no_enrolled,no_reviews,skills,star_rating,category
The Power of Statistics,Financial aid available,15603,166,statistical analysis|python programming|effective communication|statistical hypothesis testing|probability distribution,4.8,Data Science and Analytics
Advanced MySQL Topics,Financial aid available,8658,102,database (db) design|database (dbms)|mysql,4.6,others
Database Clients,Financial aid available,4473,42,data management|database (dbms)|python programming|mysql|django (web framework),4.2,others
Programming in Python,Financial aid available,53167,904,cloud hosting|application programming interfaces (api)|python programming|computer programming|django (web framework),4.6,others
Database Structures and Management with MySQL,Financial aid available,12866,224,data management|database (dbms)|relational database|database administration|mysql,4.8,Networking and Systems
Prepare for DP-100: Data Science on Microsoft Azure Exam,Financial aid available,4319,30,test preparation|microsoft azure,4.6,Cloud Computing
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7,Web Development and Design
Database Engineer Capstone,Financial aid available,3543,32,database (dbms)|application development|mysql|django (web framework)|project management,3.7,Project Management
Perform data science with Azure Databricks,Financial aid available,4677,33,microsoft azure|machine learning|data processing|azure databricks,3.7,Data Science and Analytics
Advanced Data Modeling,Financial aid available,5300,37,"data model|extraction, transformation and loading (etl)|data warehousing",4.1,Database Management
Microsoft Azure Machine Learning for Data Scientists,Financial aid available,6539,76,machine learning|regression|microsoft azure|regression analysis|supervised learning,4.6,Data Science and Analytics
Foundations of Data Science,Financial aid available,54944,872,sharing insights with stakeholders|effective written communication|asking effective questions|cross-functional team dynamics|project management,4.7,Project Management
Build and Operate Machine Learning Solutions with Azure,Financial aid available,4570,26,modeling|microsoft azure|data security|machine learning,4.3,Data Science and Analytics
Introduction to Databases,Financial aid available,36576,667,database (dbms)|mysql|database administration,4.7,Networking and Systems
Create Machine Learning Models in Microsoft Azure,Financial aid available,14527,150,modeling|microsoft azure|machine learning|experiment,4.6,Data Science and Analytics
Convolutional Neural Networks in TensorFlow,Financial aid available,133892,7878,inductive transfer|augmentation|dropouts|machine learning|tensorflow,4.7,Data Science and Analytics
"Sequences, Time Series and Prediction",Financial aid available,120491,4843,forecasting|machine learning|tensorflow|time series|prediction,4.7,Data Science and Analytics
Natural Language Processing in TensorFlow,Financial aid available,127161,6270,natural language processing|tokenization|machine learning|tensorflow|rnns,4.6,Data Science and Analytics
Managing for Frictionless Sales,Financial aid available,0,0,customer success|sales team management|sales|sales process engineering|onboarding,0.0,Business and Marketing
Sales Reporting with HubSpot,Financial aid available,0,0,data management|customer relationship management (crm)|data analysis|sales|data visualization (dataviz),0.0,Business and Marketing
Inbound Sales,Financial aid available,0,0,outreach sequence|social selling|customer experience|inside sales|sales presentation,0.0,Digital Marketing
Lead Management with HubSpot,Financial aid available,0,0,customer relationship management (crm)|data analysis|lead management,0.0,Business and Marketing
Interacting with Customers,Financial aid available,0,0,customer service|communication|de-escalation|time management,0.0,Coaching and Leadership
Introduction to Customer Service,Financial aid available,1627,12,active listening|communication|task prioritization|time management,4.8,Coaching and Leadership
Call Center Customer Service,Financial aid available,0,0,customer service|problem solving|communication|time management|de-escalation,0.0,Coaching and Leadership
Preparing for Your Retail Customer Service Role,Financial aid available,0,0,customer service|communication|resume creation,0.0,Coaching and Leadership
Preparing for Your Call Center Customer Service Role,Financial aid available,0,0,customer service|communication|resume creation,0.0,Coaching and Leadership
Satisfaction Guaranteed: Develop Customer Loyalty Online,Financial aid available,57874,1621,job preparedness|customer relationship management (crm)|portfolio preparation|e-commerce store optimization|building customer loyalty,4.8,Business and Marketing
Opportunity Management in Salesforce,Financial aid available,6578,128,crm|opportunity management|sales operations|salesforce lightning|salesforce,4.7,others
"Reports, Dashboards, and Customer Success in Salesforce",Financial aid available,10424,123,reports and dashboards|crm|sales operations|customer success|salesforce,4.7,others
Interacting with Customers,Financial aid available,0,0,customer service|communication|de-escalation|time management,0.0,Coaching and Leadership
Sales and CRM Overview,Financial aid available,41402,695,crm|sales operations|sales|salesforce sales cloud|salesforce,4.5,others
Lead Management in Salesforce,Financial aid available,10449,215,lead management|crm|sales operations|salesforce lightning|salesforce,4.7,others
Retail Customer Service,Financial aid available,0,0,customer service|social media|time management|completing retail transactions,0.0,others
Assess for Success: Marketing Analytics and Measurement,Financial aid available,73693,877,digital marketing kpis|spreadsheet management|presenting to stakeholders|media planning and strategies|marketing analytics,4.6,Digital Marketing
Introduction to Customer Service,Financial aid available,1627,12,active listening|communication|task prioritization|time management,4.8,Coaching and Leadership
"Make the Sale: Build, Launch, and Manage E-commerce Stores",Financial aid available,67807,737,fulfillment and delivery|website structure|e-commerce platforms|e-commerce strategy|seasonality,4.8,others
Attract and Engage Customers with Digital Marketing,Financial aid available,161943,3497,website structure|customer awareness|google|search engine marketing|search engine optimization (seo),4.8,Digital Marketing
From Likes to Leads: Interact with Customers Online,Financial aid available,98692,1805,social listening|social media bidding|customer engagement|social media analytics|social media branding,4.8,Business and Marketing
Foundations of Digital Marketing and E-commerce,Financial aid available,560199,13231,marketing|customer loyalty|e-commerce|marketing analytics|customer outreach,4.8,Business and Marketing
Think Outside the Inbox: Email Marketing,Financial aid available,81604,1214,email writing|email list segmentation|email marketing strategy|email marketing analytics|contact management,4.8,Digital Marketing
Sales Enablement,Financial aid available,4606,0,customer relationship management (crm)|content creation|customer success|sales|sales enablement,0.0,Business and Marketing
Back-end Application Development Capstone Project,Financial aid available,1600,10,docker|mongodb|flask|representational state transfer (rest)|django (web framework),5.0,Cloud Computing
Design a User Experience for Social Good & Prepare for Jobs,Financial aid available,118381,2515,user experience (ux)|usability testing|prototype|user experience design (uxd)|ux design jobs,4.9,UI/UX Design
DevOps Capstone Project,Financial aid available,5297,49,kubernetes|devops|ci/cd|microservices|cloud computing,4.9,Cloud Computing
Technical Support Case Studies and Capstone,Financial aid available,4395,87,networking setup|software configuration|technical support|troubleshooting|helpdesk ticketing systems,4.8,Programming and Development
Continuous Integration and Continuous Delivery (CI/CD),Financial aid available,10258,96,continuous integration|ci/cd|continuous development|automation|infrastructure as code,4.8,Cloud Computing
 IT Security: Defense against the digital dark arts ,Financial aid available,337949,20198,cybersecurity|wireless security|cryptography|network security,4.8,Cybersecurity
Application Security and Monitoring,Financial aid available,7135,68,open web application security project (owasp)|observability|security|monitoring|logging,4.9,others
Introduction to Cybersecurity Essentials,Financial aid available,16092,336,information security (infosec)|cyberattacks|application security|cryptography|cybersecurity,4.9,Cybersecurity
Introduction to Cloud Computing,Financial aid available,217106,4156,cloud native|devops|iaas paas saas|hybrid multicloud|cloud computing,4.6,Cloud Computing
Introduction to Networking and Storage,Financial aid available,15203,266,cloud storage|network troubleshooting|network architecture|networking hardware|wireless networks,4.7,Cloud Computing
Operating Systems Fundamentals,Financial aid available,1932,0,performing basic linux tasks|user and group accounts|managing the file system in linux|managing linux permissions and ownership|managing jobs and processes,0.0,others
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7,Coaching and Leadership
Introduction to iOS Mobile Application Development,Financial aid available,26575,619,ios app development|application development|mobile development,4.7,others
Put It to Work: Prepare for Cybersecurity Jobs,Financial aid available,28597,406,job preparedness|stakeholder communication|integrity and discretion|escalation|resume and portfolio preparation,4.9,others
Introduction to Agile Development and Scrum,Financial aid available,41538,1227,agile software development|scrum methodology|zenhub|kanban|sprint planning,4.9,Project Management
Project Management Capstone,Financial aid available,0,0,agile management|risk management|scrum (software development)|leadership|project management,0.0,Project Management
Introduction to Software Engineering,Financial aid available,32210,376,software architecture|python programming|software development lifecycle (sdlc)|software engineering|agile and scrum,4.7,Project Management
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7,Coaching and Leadership
Introduction to Scrum Master Profession,Financial aid available,2488,18,scrum master|user story|product backlog|sprints|kanban,4.5,Project Management
Back-End Developer Capstone ,Financial aid available,10607,50,django (web framework)|mysql|api endpoints,4.5,Programming and Development
Teach English Now! Technology Enriched Teaching,Financial aid available,41024,1445,teaching|english language|lesson plan|plan,4.9,others
Information Technology (IT) Fundamentals for Everyone,Financial aid available,2126,19,information technology|operating systems|security|cloud computing|project management,4.8,Project Management
Django Web Framework ,Financial aid available,21425,278,build a data model|design a web application,4.8,UI/UX Design
Introduction to Databases for Back-End Development,Financial aid available,23131,375,mysql|database (dbms)|database administration,4.6,Networking and Systems
The Full Stack,Financial aid available,22205,92,cascading style sheets (css)|html|production environments|javascript|django (web framework),4.6,Web Development and Design
APIs,Financial aid available,17383,143,debugging|authentication and authorization|rest apis|filtering and ordering|serializers and deserializers,4.5,Software Development
Programming in Python,Financial aid available,53167,904,cloud hosting|application programming interfaces (api)|python programming|computer programming|django (web framework),4.6,others
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7,Web Development and Design
"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Financial aid available,70645,1795,teaching|english language|lesson plan|speech,4.9,others
"Project Management Communication, Stakeholders & Leadership ",Financial aid available,1719,13,project management|communication|leadership|stakeholder management,4.9,Project Management
"Project Lifecycle, Information Sharing, and Risk Management",Financial aid available,1706,12,project management|risk management|systems development life cycle|information sharing,4.3,Project Management
Automate Cybersecurity Tasks with Python,Financial aid available,32189,366,computer programming|python programming|coding|pep 8 style guide,4.8,others
"Project Management Foundations, Initiation, and Planning",Financial aid available,3007,27,project management|project planning|project initiation,4.6,Project Management
Introduction to Project Management ,Financial aid available,11220,163,project planning|career development|scrum master|agile pm|project management,4.8,Project Management
"Assets, Threats, and Vulnerabilities",Financial aid available,38532,471,vulnerability assessment|threat analysis|authentication|cryptography|asset classification,4.8,Cybersecurity
Sound the Alarm: Detection and Response,Financial aid available,32718,354,security information and event management (siem) tools|packet analyzer|intrusion detection systems (ids),4.8,Cybersecurity
Connect and Protect: Networks and Network Security,Financial aid available,64031,977,cloud networks|network security|security hardening|network architecture|transmission control protocol / internet protocol (tcp/ip),4.8,Cybersecurity
Foundations of Cybersecurity,Financial aid available,244508,7080,information security (infosec)|cybersecurity|historical attacks|ethics in cybersecurity|nist cybersecurity framework (csf),4.9,Cybersecurity
Play It Safe: Manage Security Risks,Financial aid available,93694,1952,information security (infosec)|security audits|incident response playbooks|nist risk management framework (rmf)|nist cybersecurity framework (csf),4.8,Cybersecurity
React Native,Financial aid available,13268,136,react (javascript library)|react|application development|mobile development,4.8,Web Development and Design
iOS App Capstone,Financial aid available,1733,15,ios app development|software architecture|ui development|data management,4.5,Software Development
Tools of the Trade: Linux and SQL,Financial aid available,49320,779,linux|command line interface (cli)|bash|sql,4.8,Networking and Systems
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7,Coaching and Leadership
Working with Data in iOS,Financial aid available,2401,20,json|apis|core data|swift programming,4.3,Software Development
Advanced Programming in Swift,Financial aid available,3762,45,ios app development|application development|swift programming,4.8,Programming and Development
Mobile Development and JavaScript,Financial aid available,5955,47,•	create simple javascript code|•	create and manipulate objects and arrays|•	write unit testing using jest,4.6,others
Create the User Interface with SwiftUI,Financial aid available,4276,63,ios app development|use navigation in your apps|application development|swift programming,4.7,Programming and Development
Principles of UX/UI Design,Financial aid available,49742,401,web design|front-end web development|user experience (ux)|accessibility,4.7,UI/UX Design
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7,Web Development and Design
React Native,Financial aid available,13268,136,react (javascript library)|react|application development|mobile development,4.8,Web Development and Design
Programming Fundamentals in Swift,Financial aid available,6822,146,ios app development|application development|swift programming|web development,4.7,Web Development and Design
React Basics,Financial aid available,72642,1086,web application|front-end web development|react (web framework)|application development,4.7,others
React Basics,Financial aid available,72642,1086,web application|front-end web development|react (web framework)|application development,4.7,others
Working with Data in Android,Financial aid available,3881,24,working with sqlite|rest api's|data and databases,4.8,others
Android App Capstone ,Financial aid available,2749,17,android studio|kotlin|ux and ui,4.7,UI/UX Design
Create the User Interface in Android Studio,Financial aid available,6249,60,use ui component libraries to build android ui|create a simple android ui|compose ui using kotlin ui views|build a simple ui using the layout editor,4.8,others
Principles of UX/UI Design,Financial aid available,49742,401,web design|front-end web development|user experience (ux)|accessibility,4.7,UI/UX Design
Mobile Development and JavaScript,Financial aid available,5955,47,•	create simple javascript code|•	create and manipulate objects and arrays|•	write unit testing using jest,4.6,others
Programming Fundamentals in Kotlin,Financial aid available,9944,162,create arrays|kotlin playground|create control flow patterns using conditionals and loops|practice using and extending protocols.|declare and initialize different types of variables,4.7,others
Becoming an SAP Professional,Financial aid available,4617,30,linkedin sap community|learning.sap.com|sap career trends|routes into sap|sap partner roles,4.8,others
Introduction to Android Mobile Application Development ,Financial aid available,36287,789,android studio|application development|mobile development,4.6,others
SAP Technology Consultant Hands-on Project,Financial aid available,3143,15,customer analysis|business strategy and technology integration|business transformation|explore design build|sap implementation lifecycle,4.7,others
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7,Web Development and Design
SAP Customer Engagement and Discovery,Financial aid available,4180,20,managing workshops|business strategic assessment|customer readiness|customer engagement and exploration|solution proposal and communication,4.8,others
Implementing an SAP Solution,Financial aid available,3408,27,deployment|qa and testing|systems building|best practice|go-live,4.9,others
Front-End Development Capstone Project,Financial aid available,0,0,web development|react (web framework)|front-end design|front-end development|software development,0.0,Web Development and Design
Designing an SAP Solution,Financial aid available,3947,28,solution design|project planning and management|communication|requirements elicitation|gap analysis,5.0,Project Management
Designing User Interfaces and Experiences (UI/UX),Financial aid available,0,0,website wireframe|progressive web development|figma|user experience (ux)|user interface design (ui design),0.0,UI/UX Design
SAP Professional Fundamentals,Financial aid available,31305,259,client research and analysis|business transformation|planning and project management|communication and engagement|systems and design thinking,4.8,others
Intermediate Web and Front-End Development,Financial aid available,0,0,debugging|webpack|wordpress|javascript library|search engine optimization (seo),0.0,Software Development
Understanding the Enterprise Systems Environment,Financial aid available,7485,64,digital transformation|intelligent enterprise|sap platform|business analysis|business process design,4.8,Project Management
Developing Front-End Apps with React,Financial aid available,23515,213,web development|user interface|react (web framework)|front-end development|javascript,4.3,Web Development and Design
IBM Cybersecurity Analyst Assessment ,Financial aid available,25015,948,computer security incident management|professional certificate|cybersecurity analyst,4.8,Coaching and Leadership
Developing Cloud Native Applications,Financial aid available,17889,249,devops|nosql|git (software)|cloud infrastructure|json,4.1,Networking and Systems
Getting Started with Git and GitHub,Financial aid available,43953,557,distributed version control (drcs)|open source|version control systems|github|git (software),4.7,others
Cybersecurity Capstone:  Breach Response Case Studies,Financial aid available,37235,1265,security analyst|cybersecurity|cyber attack|computer security incident management|breach (security exploit),4.8,Cybersecurity
Network Security & Database Vulnerabilities ,Financial aid available,79832,2913,database vulnerabilities|network security|sql injection|cybersecurity|networking basics,4.7,Cybersecurity
Cyber Threat Intelligence,Financial aid available,47281,1451,application security|threat intelligence|network defensive tactics|security analyst|cybersecurity,4.7,Cybersecurity
"Introduction to Web Development with HTML, CSS, JavaScript",Financial aid available,95937,1409,web development|cascading style sheets (css)|html|git (software)|javascript,4.6,Web Development and Design
"Penetration Testing, Incident Response and Forensics",Financial aid available,65539,2058,scripting|forensics|penetration test|cybersecurity|computer security incident management,4.6,Cybersecurity
